Date,ES=F,NQ=F,YM=F,RTY=F,NKD=F,^STOXX50E,^GDAXI,^VIX,^IRX,2YY=F,^FVX,^TNX,^TYX,CL=F,BZ=F,NG=F,RB=F,HO=F,URA,GC=F,SI=F,PL=F,PA=F,HG=F,ALI=F,ZS=F,ZM=F,ZL=F,ZC=F,ZW=F,ZO=F,ZR=F,KC=F,CC=F,SB=F,CT=F,LE=F,GF=F,HE=F,OJ=F,DX-Y.NYB,6E=F,6J=F,6B=F,6C=F,6S=F,6A=F,6N=F,BTC-USD,ZT=F,ZF=F,ZN=F,ZB=F,SPY,TLT,QQQ,IWD,VEU,HYG,LQD
2025-05-02,5709.0,20195.25,41427.0,2026.800048828125,37280.0,5285.18994140625,23086.650390625,22.68000030517578,4.208000183105469,3.7909998893737793,3.931999921798706,4.322000026702881,4.795000076293945,58.290000915527344,61.290000915527344,3.630000114440918,2.01990008354187,1.9931999444961548,25.84000015258789,3231.89990234375,31.98900032043457,962.9000244140625,946.9000244140625,4.627500057220459,2307.75,1048.75,290.20001220703125,49.08000183105469,461.25,526.5,361.25,12.614999771118164,395.3999938964844,9127.0,17.200000762939453,70.18000030517578,211.10000610351562,294.95001220703125,92.94999694824219,282.8999938964844,100.0,1.13100004196167,0.006905000191181898,1.3274999856948853,0.7245000004768372,1.215250015258789,0.6444000005722046,0.5950999855995178,96910.0703125,103.6328125,108.359375,111.15625,114.90625,566.760009765625,87.7300033569336,488.8299865722656,184.89999389648438,63.45000076293945,78.54000091552734,106.91000366210938
2025-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95891.796875,,,,,,,,,,,
2025-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94315.9765625,,,,,,,,,,,
2025-05-05,5671.75,20055.5,41319.0,2010.9000244140625,37220.0,5283.0498046875,23344.5390625,23.639999389648438,4.208000183105469,3.805999994277954,3.943000078201294,4.3429999351501465,4.829999923706055,57.130001068115234,60.22999954223633,3.549999952316284,2.0227999687194824,1.9744999408721924,25.649999618530273,3311.300048828125,32.20500183105469,957.5,938.5,4.65500020980835,2306.75,1038.0,288.70001220703125,48.369998931884766,446.5,514.25,361.0,12.444999694824219,398.95001220703125,8758.0,17.469999313354492,70.3499984741211,213.64999389648438,296.07501220703125,92.25,290.79998779296875,99.83000183105469,1.132349967956543,0.0069599999114871025,1.3289999961853027,0.724399983882904,1.2213499546051025,0.6467999815940857,0.5972499847412109,94748.0546875,103.6328125,108.328125,111.0625,114.5,563.510009765625,87.23999786376953,485.92999267578125,184.1199951171875,63.68000030517578,78.51000213623047,106.76000213623047
2025-05-06,5625.75,19876.5,40918.0,1988.9000244140625,36820.0,5263.3798828125,23249.650390625,24.760000228881836,4.210000038146973,3.76200008392334,3.8980000019073486,4.308000087738037,4.813000202178955,59.09000015258789,62.150001525878906,3.4630000591278076,2.064500093460083,2.0088000297546387,26.389999389648438,3411.39990234375,33.112998962402344,987.7999877929688,976.2999877929688,4.735000133514404,2310.25,1034.75,286.1000061035156,47.97999954223633,447.5,519.0,368.75,12.600000381469727,401.1000061035156,9175.0,17.440000534057617,71.94000244140625,213.6750030517578,295.70001220703125,91.55000305175781,282.70001220703125,99.23999786376953,1.1380499601364136,0.007031000219285488,1.3377000093460083,0.7265499830245972,1.2230000495910645,0.6498000025749207,0.6015499830245972,96802.4765625,103.734375,108.5234375,111.3125,114.75,558.7999877929688,87.52999877929688,481.4100036621094,182.9199981689453,63.59000015258789,78.44999694824219,106.97000122070312
2025-05-07,5652.0,19961.0,41214.0,1995.300048828125,37030.0,5230.18994140625,23115.9609375,23.549999237060547,4.215000152587891,3.739000082015991,3.872999906539917,4.275000095367432,4.7729997634887695,58.06999969482422,61.119998931884766,3.621000051498413,2.0278000831604004,1.9766000509262085,26.770000457763672,3381.39990234375,32.53099822998047,979.7999877929688,978.2999877929688,4.616499900817871,2269.75,1030.5,288.0,46.95000076293945,441.0,518.0,370.0,12.71500015258789,396.20001220703125,9398.0,17.1299991607666,70.47000122070312,212.52499389648438,294.45001220703125,91.1500015258789,283.20001220703125,99.61000061035156,1.1342999935150146,0.006978000048547983,1.3323999643325806,0.7248499989509583,1.2239999771118164,0.6452999711036682,0.5969499945640564,97032.3203125,103.7265625,108.609375,111.546875,115.375,561.1500244140625,87.9000015258789,483.29998779296875,183.88999938964844,63.20000076293945,78.5199966430664,107.19000244140625
2025-05-08,5684.5,20148.0,41468.0,2033.300048828125,37535.0,5288.93994140625,23352.689453125,22.479999542236328,4.215000152587891,3.8320000171661377,3.99399995803833,4.373000144958496,4.835999965667725,59.90999984741211,62.84000015258789,3.5920000076293945,2.085400104522705,2.0399999618530273,26.68000030517578,3296.60009765625,32.37799835205078,976.2999877929688,979.4000244140625,4.560999870300293,2294.25,1036.75,287.79998779296875,48.029998779296875,439.0,513.0,370.0,12.475000381469727,397.79998779296875,9268.0,17.5,66.69000244140625,214.25,297.4750061035156,90.6500015258789,271.20001220703125,100.63999938964844,1.1231499910354614,0.006862000096589327,1.3251999616622925,0.7183499932289124,1.2084499597549438,0.6397500038146973,0.5909000039100647,103241.4609375,103.52734375,108.0703125,110.796875,114.40625,565.0599975585938,86.91999816894531,488.2900085449219,185.08999633789062,63.04999923706055,78.5,106.6500015258789
2025-05-09,5678.0,20136.75,41323.0,2028.800048828125,37530.0,5309.740234375,23499.3203125,21.899999618530273,4.215000152587891,3.819000005722046,3.986999988555908,4.375,4.833000183105469,61.02000045776367,63.90999984741211,3.7950000762939453,2.1084001064300537,2.0664000511169434,27.15999984741211,3335.39990234375,32.67599868774414,998.5,978.0,4.611000061035156,2309.25,1044.0,287.20001220703125,48.150001525878906,441.5,505.5,375.0,12.404999732971191,397.1499938964844,9387.0,17.780000686645508,66.61000061035156,214.6750030517578,297.9750061035156,90.375,256.20001220703125,100.33999633789062,1.1264499425888062,0.006889999844133854,1.3315000534057617,0.7182499766349792,1.2085000276565552,0.6413499712944031,0.5921000242233276,102970.8515625,103.546875,108.09375,110.8125,114.34375,564.3400268554688,87.05000305175781,487.9700012207031,185.0500030517578,63.41999816894531,78.55000305175781,106.61000061035156
2025-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104696.328125,,,,,,,,,,,
2025-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104106.359375,,,,,,,,,,,
